n,fail,reward,coins_mean,coins_p10,coins_p90,earned,spent,fails,boosters,walls,broke
91,0.075,18,120,65,185,32,0,0.083,0,0.007,0
92,0.225,18,84,43,125,32.6,69.5,0.22,0.647,0.05,0.523
93,0.23,18,83,43,124,32.9,33.9,0.223,0.337,0.047,0.84
94,0.22,18,80,39,121,32.4,35,0.227,0.35,0.033,0.843
95,0.225,18,83,45,121,33,29.7,0.207,0.297,0.04,0.87
96,0.22,18,83,45,122,32.6,33,0.22,0.33,0.03,0.86
97,0.37,18,155,62,260,220.7,148.9,0.147,1.087,0.027,0.033
98,0.39,18,98,44,166,32.3,89,0.357,0.783,0.107,0.467
99,0.43,18,85,43,125,29,42.2,0.57,0.417,0.187,0.967
100,0.68,18,75,36,113,25.4,35,0.9,0.35,0.373,1.177
101,0.08,18,104,63,141,28.7,0,0.053,0,0,0
102,0.21,18,82,43,123,30.3,51.8,0.203,0.51,0.027,0.667
103,0.295,18,80,41,118,30.8,33,0.3,0.33,0.07,0.9
104,0.25,18,86,44,126,31.8,25.7,0.223,0.257,0.04,0.927
105,0.12,18,312,242,381,226.2,0,0.14,0,0,0
106,0.125,18,346,273,423,33.8,0,0.15,0,0,0
107,0.465,18,208,80,327,33,171.2,0.237,1.193,0.027,0.017
108,0.49,18,122,43,241,31.7,117.3,0.39,0.947,0.107,0.337
109,0.505,18,88,45,133,28.9,63,0.583,0.543,0.19,0.85
110,0.595,18,76,33,116,26.2,38.3,0.7,0.367,0.253,1.08
111,0.075,18,105,58,147,29,0,0.1,0,0,0
112,0.29,18,79,40,119,29.6,55.9,0.283,0.553,0.063,0.667
113,0.18,18,298,228,373,219,0,0.227,0,0,0
114,0.28,18,173,69,277,32.7,157.6,0.157,1.117,0.027,0.013
115,0.305,18,108,48,180,33.9,98.9,0.217,0.837,0.057,0.323
116,0.15,18,142,77,218,33.9,0,0.167,0,0.01,0
117,0.505,18,89,40,140,31.7,84.6,0.44,0.767,0.13,0.543
118,0.425,18,80,38,120,29.8,38.5,0.47,0.38,0.143,0.947
119,0.335,18,78,38,117,29.3,31.3,0.323,0.313,0.077,0.933
120,0.55,18,77,36,116,25.4,26.7,0.76,0.267,0.263,1.23
121,0.09,18,294,220,361,217.2,0,0.093,0,0,0
122,0.22,18,169,65,274,31.9,156.6,0.077,1.043,0.01,0.023
123,0.275,18,102,46,171,32.3,99.6,0.243,0.813,0.043,0.387
124,0.305,18,88,46,127,33.4,46.8,0.217,0.447,0.047,0.723
125,0.35,19,82,45,122,33,39.3,0.353,0.39,0.093,0.87
126,0.3,19,80,39,116,31.8,34.3,0.327,0.34,0.087,0.9
127,0.52,19,81,42,117,29.1,28,0.58,0.28,0.197,1.103
128,0.545,19,78,36,114,26.4,29.7,0.693,0.297,0.24,1.157
129,0.42,19,138,46,238,215,154.5,0.21,1.103,0.043,0.063
130,0.675,19,85,39,132,27.8,80.6,0.663,0.727,0.263,0.673
131,0.075,19,116,68,168,30.9,0,0.107,0,0.003,0
132,0.31,19,85,42,126,31.9,63.3,0.24,0.61,0.057,0.573
133,0.31,19,80,42,123,32.3,37.3,0.28,0.373,0.07,0.837
134,0.235,19,85,45,123,33.2,28.3,0.197,0.283,0.033,0.88
135,0.165,19,118,75,163,33.3,0,0.207,0,0.02,0
136,0.325,19,81,41,121,33.1,70.5,0.25,0.697,0.06,0.493
137,0.53,19,138,46,243,218.8,161.3,0.29,1.147,0.067,0.077
138,0.55,19,90,42,144,30.9,78.8,0.527,0.69,0.197,0.64
139,0.44,19,84,39,125,29.1,35.6,0.537,0.343,0.187,1.007
140,0.63,19,77,35,115,26.4,32.7,0.813,0.327,0.303,1.183
141,0.665,19,73,33,114,23.9,28.7,0.96,0.287,0.38,1.293
142,0.49,19,74,37,113,24.3,23.3,0.62,0.233,0.2,1.187
143,0.325,19,78,37,118,25.9,21.3,0.407,0.213,0.097,1.097
144,0.785,19,74,37,112,23.2,27.7,1.177,0.277,0.53,1.37
145,0.655,19,127,41,227,212.6,158.9,0.373,1.153,0.103,0.117
146,0.435,19,86,43,132,27.5,69.1,0.37,0.61,0.113,0.647
